States,RegisteredVehicles,State,Year
Kansas,2682337,KS,2019
Kentucky,4383223,KY,2019
Louisiana,3802746,LA,2019
Maine,1130056,ME,2019
Maryland,4203994,MD,2019
Massachusetts,5061260,MA,2019
Michigan,8440065,MI,2019
Minnesota,5425885,MN,2019
Mississippi,2066681,MS,2019
Missouri,5534289,MO,2019
Montana,1900806,MT,2019
Nebraska,1968479,NE,2019
Nevada,2546583,NV,2019
New Hampshire,1363379,NH,2019
New Jersey,6033015,NJ,2019
New Mexico,1825421,NM,2019
New York,11389158,NY,2019
North Carolina,8527388,NC,2019
North Dakota,903668,ND,2019
Ohio,10901279,OH,2019
Oklahoma,3706624,OK,2019
Oregon,3919157,OR,2019
Pennsylvania,10800315,PA,2019
Rhode Island,868942,RI,2019
South Carolina,4516143,SC,2019
South Dakota,1280969,SD,2019
Tennessee,5817887,TN,2019
Texas,23007146,TX,2019
Utah,2430275,UT,2019
Vermont,620428,VT,2019
Virginia,7647692,VA,2019
Washington,7377028,WA,2019
West Virginia,1668113,WV,2019
Wisconsin,5666400,WI,2019
Wyoming,843671,WY,2019
